Title,Year,Categorey,Rating,Baked Scale
Goodfellas,1990,Miscellaneous,100,Sober
Casablanca,1942,Miscellaneous,100,Sober
The Godfather,1972,Miscellaneous,100,Dealer's Choice
The Lion King,1994,Animation & Kids,100,Sober
It's a Wonderful Life,1946,Christmas,100,Dealer's Choice
The Lord of the Rings: The Return of the King,2003,LOTR,100,Sober
12 Angry Men,1957,Miscellaneous,100,Sober
Star Wars: Episode V - The Empire Strikes Back,1980,Star Wars,100,Dealer's Choice
Forrest Gump,1994,Miscellaneous,99,Sober
The Godfather: II,1974,Miscellaneous,99,Sober
Beauty and The Beast,1991,Animation & Kids,99,Sober
Saving Private Ryan,1998,Miscellaneous,99,Sober
Django Unchained,2012,Miscellaneous,99,Sober
Jaws,1975,Miscellaneous,98,Dealer's Choice
Shawshank Redemption,1994,Miscellaneous,98,Sober
The Lord of the Rings: The Two Towers,2002,LOTR,98,Dealer's Choice
Toy Story,1995,Animation & Kids,98,Dealer's Choice
Gladiator,2000,Miscellaneous,98,Dealer's Choice
La La Land,2016,Miscellaneous,98,Sober
Unforgiven,1992,Miscellaneous,98,Sober
Oppenheimer,2023,Miscellaneous,98,Dealer's Choice
The Dark Knight,2008,DC,97,Dealer's Choice
The Lord of the Rings: The Fellowship of the Ring,2001,LOTR,97,Dealer's Choice
The Truman Show,1998,Miscellaneous,97,Dealer's Choice
Psycho,1960,Miscellaneous,97,Dealer's Choice
Avengers: Infinity War,2018,Marvel,97,Dealer's Choice
The Departed,2006,Miscellaneous,97,Sober
Pulp Fiction,1994,Miscellaneous,97,Sober
The Green Mile,1999,Miscellaneous,97,Sober
Star Wars: Episode IV - A New Hope,1977,Star Wars,97,Dealer's Choice
Indiana Jones and the Raiders of the Lost Ark,1981,Miscellaneous,97,Sober
Back to the Future,1985,Miscellaneous,96,Dealer's Choice
Avengers: Endgame,2019,Marvel,96,Dealer's Choice
Aladdin,1992,Animation & Kids,96,Dealer's Choice
Whiplash,2014,Miscellaneous,96,Sober
Inherit the Wind,1960,Miscellaneous,96,Sober
Rocky,1976,Rocky,96,Dealer's Choice
Finding Nemo,2003,Animation & Kids,96,Dealer's Choice
Spotlight,2015,Miscellaneous,96,Sober
Step Brothers,2008,Miscellaneous,96,Dealer's Choice
"Everything, Everywhere, All at Once",2022,Miscellaneous,95,Dealer's Choice
Titanic,1997,Miscellaneous,95,Sober
There Will Be Blood,2007,Miscellaneous,95,Sober
The Shape of Water,2017,Miscellaneous,95,Sober
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Miscellaneous,95,Sober
Dune: Part Two,2024,Miscellaneous,95,Baked
Spider-Man: Across the Spider-Verse,2023,Marvel,95,Dealer's Choice
The Bride of Frankenstein,1935,Universal Monsters,95,Sober
The Silence of The Lambs,1991,Miscellaneous,95,Sober
"The Good, the Bad, and the Ugly",1966,Miscellaneous,95,Sober
The Great Dictator,1940,Miscellaneous,95,Sober
12 Years a Slave,2013,Miscellaneous,95,Sober
Platoon,1986,Miscellaneous,94,Dealer's Choice
The Father,2020,Miscellaneous,94,Sober
The Wizard of Oz,1939,Miscellaneous,94,Dealer's Choice
Toy Story 3,2010,Animation & Kids,94,Dealer's Choice
Knives Out,2019,Miscellaneous,94,Sober
Spider-Man: Into the Spider-Verse,2018,Marvel,94,Baked
The Wild Robot,2024,Animation & Kids,94,Dealer's Choice
A Few Good Men,1992,Miscellaneous,94,Sober
Rio Bravo,1959,Miscellaneous,94,Sober
Willy Wonka & the Chocolate Factory,1971,Miscellaneous,93,Dealer's Choice
The Wolf of Wall Street,2013,Miscellaneous,93,Dealer's Choice
The Elephant Man,1980,Miscellaneous,93,Dealer's Choice
Major League,1989,Miscellaneous,93,Sober
Shrek,2001,Animation & Kids,93,Dealer's Choice
Seven,1995,Miscellaneous,93,Dealer's Choice
